title|composer|chrds|prnt|mp3|rank|year|rb|nrb|srb|aebersold|irb|irbg|
Alfie|Burt Bacharach||||545|1966|1-1||||y||
Alfie's Theme|Sonny Rollins||||||2-4||||y||
Alice In Wonderland|Sammy Fain||||||1-12||||y||
All About Ronnie|Joe Greene||||||||||y||
All Alone|Irving Berlin||||918|1924|2-5||||y||
All Blues|Miles Davis|y|y|y|248|1959|1-13|||050,081,|y||
All By Myself|||||986|1921|1||||||
All God's Chillun Got Rhythm|Kahn-Kaper||||296|1937|2-6||||y||
All In Love Is Fair|||||||1-14||||||
All Love||||||||||||y|
All My Life|||||950|1936|||||||
All My Tomorrows|Jimmy Van-Heusen||||||1-15||||y||
All Of A Sudden My Heart Sings|Herpin-Jamblan-Rome||||||||||y||
All Of Me|Gerald Marks|y|y|y|71|1931|1-16|1||095,|y||
All Of You|Cole Porter||||356|1954|1-17||y|112,117,|y||
All Or Nothing At All|Arthur Altman|||y|387|1940|3-4|1||044,094,|y||
All The Things You Are|Jerome Kern|y|y|y|2|1939|1-18|||016,036,043,055,068,|y||
All The Way|Jimmy Van-Heusen||||570|1957|3||y||y||
All Through The Day|Kern-Hammerstein||||||||||y||
All Through The Night|Cole Porter||||509|1934|||y||y||
All Too Soon|Duke Ellington||||459|1940|||||y||
Allen's Alley|||||700|1949|||||||
Almost Like Being In Love|Frederick Loewe||||265|1947||3|||y||
Alone Together|Arthur Schwartz|y|y|y|89|1932|1-19||y|041,107,|y||
Alone Too Long|Arthur Schwartz||||||||||y||
Along Came Betty|Benny Golson||||||3-7||||y||
Alors Voila||||||||||||y|
Altoitis|||||||2-7||||||
Always|Irving Berlin||||302|1925|1||||y||
Always And Forever|||||||3-8||||||
Am I Blue|Harry Akst||||486|1929|||y||y||
Amazing Grace|||||731|Trad.|||||||
Among My Souvenirs|Horatio Nicholls||||||||||y||
Amor|Ruiz-Skylar||||||||||y||
An Affair To Remember|||||966|1957|||||||
Ana Maria|Wayne Shorter||||||1-20||||y||
And Now, The Queen|||||||1-22||||||
And On The Third Day|Michael Gibbs||||||1-23||||y||
And The Angels Sing|Ziggy Elman||||786|1939|||y||y||
Angel Eyes|Matt Dennis||||67|1946|1-24|1||023,|y||
Angela|||||||3-9||||||
Angelo's Waltz||||||||||||y|
Anniversary Song||||||||||||y|
Another Star|||||||2-8||||||
Anouman||||||||||||y|
Anthropology|Charlie Parker||||483|1946|1-25|1||123,|y||
Any Old Time|||||921|1930|||||||
Anything Goes|Cole Porter||||754|1934|||y||y||
Appel Direct||||||||||||y|
April|||||||2-10||||||
April In Paris|Vernon Duke||||130|1932|1-26||||y||
April Joy|Pat Metheny||||||1-27||||y||
April Skies|||||||2-9||||||
Are You In The Mood||||||||||||y|
Aren't You Glad You're You|Jimmy Van-Heusen||||||||||y||
Arise, Her Eyes|||||||1-28||||||
Armageddon|||||||1-30||||||
Armando's Rhumba|Chick Corea|y|y|y|||3-10||||y||
Around Again|||||||1-22||||||
Artillerie Lourde||||||||||||y|
As Long As I Live|Harold Arlen||||365|1934|3||||y||
As Time Goes By|Herman Hupfeld||||266|1931|1-31||y|094,|y||
Ask Me Now|Thelonious Monk||||475|1951|2-12||||y||
At Last|Harry Warren||||869|1942|||y||y||
At Long Last Love|Cole Porter||||909|1937|3||y|112,117,|y||
At Sundown|||||812|1927|3||||||
At The Jazz Band Ball|||||513|1918|||||||
Au Privave|Charlie Parker||||523|1951|1-32||||y||
Auld Lang Syne|||||958|Trad.||||078,125,|||
Aunt Hagar's Blues|||||901|1920|||||||
Aurore||||||||||||y|
Autumn In 3|||||||3-12||||||
Autumn In New York|Vernon Duke||||121|1934|1-33|||040,093,097,|y||
Autumn Leaves|Joseph Kosma|y|y|y|11|1947|1-36|1||020,044,054,067,|y|y|
Autumn Nocturne|||||||3-13||||||
Avalon|Jolson-Sylva-Rose||||109|1920|2-13|||039,079,|y||
Avalon 1||||||||||||y|
Avalon Place|||||||3-14||||||
Away In A Manger|||||917|1887||||125,|||
Ay, Arriba|||||||1-34||||||
Azure|||||629|1937|2||||||
Ba-lue Bolivar Ba-lues-are|Thelonious Monk||||||2-20||||y||
Babik||||||||||||y|
Baby Won't You Please Come Home|||||205|1919||||080,|||
Baby, It's Cold Outside|||||898|1948|2|2|||||
Back In Your Own Backyard|||||451|1927|||||||
Back Water Blues|||||982|1927|||||||
Backstage Sally|Wayne Shorter||||||2-14||||y||
Bad And The Beautiful (Theme From The)|||||872|1953|||||||
Bags And Traie|||||||2-15||||||
Bags' Groove|Milt Jackson||||343|1954|2-16||y|h,|y||
Baia|||||642|1938|||||||
Baile De Los Negritos||||||||||||y|
Balance, The|Dave Holland||||||||||y||
Ballad For Anita|||||||3-15||||||
Ballad For Trane|||||||3-16||||||
Ballade|Charlie Parker||||||||||y||
Ballet|||||||1-37||||||
Ballin' The Jack|||||677|1913|||||||
Baltimore Oriole|Hoagy Carmichael||||||||||y||
Barbados|Charlie Parker||||627|1948|2-17|||069,|y||
Barbara|||||||2-18||||||
Bark For Barksdale|Gerry Mulligan||||||||||y||
Basin Street Blues|Spencer Williams||||182|1928|2-19|1||046,|y||
Batterie|||||||1-38||||||
Baubles, Bangles And Beads|Borodin-Wright-Forrest||||422|1953|||||y||
Be Bop|||||||2-21||||||
Be Careful It's My Heart|Irving Berlin||||||||||y||
Be My Love|Nikolaus Brodszky||||724|1949|3-18||||y||
Be-bop|Dizzy Gillespie||||440|1944|2||||y||
Beale Street Blues|||||463|1916|||||||
Beatrice|Sam Rivers||||||||||y||
Beautiful Friendship|||||||3-17||||||
Beautiful Love|Victor Young||||592|1931|1-39|1|||y||
Beauty And The Beast|Wayne Shorter||||||||||y||
Beauty And The Blast|||||||1-40||||||
Beethoven's Blue 3rd|||||||2-20||||||
Begin The Beguine|Cole Porter||||247|1935|||y||y||
Bei Dir War Es Immer So Schoen||||||||||||y|
Bei Mir Bist Du Schoen||||y|967|1937||||||y|
Bein' Green|Joe Raposo||||||||||y||
Belleville||||||||||||y|
Belleville Rendez-vous||||||||||||y|
Belz||||||||||||y|
Bemsha Swing|Thelonious Monk||||321|1952|||||y||
Beneath It All|||||||1-41||||||
Benny's Tune|Lionel Loueke||||||||||y||
Bernie's Tune|Bernie Miller|y|y|y|394|1953|3|1||091,|y||
Berrie's Tune|||||||3-24||||||
Besame Mucho|Consuelo Velazques||||294|1941|||||y||
Beside Myself|||||||3-20||||||
Bess You Is My Woman|George Gershwin||||||||||y||
Bess, You Is My Woman Now|||||539|1935|3-22||||||
Bessie's Blues|John Coltrane||||||1-42||||y||
Best Is Yet To Come, The|Page 2) ||||878|1959|||y||y||
Best Thing For You Is Me|Irving Berlin||||||3-25||||y||
Best Thing For You, The|||||789|1950|3||||||
Best Things In Life Are Free, The|DeSylva-Brown-Henderson||||818|1927|3||||y||
Better Git It In Your Soul|||||||3-26||||||
Better Than Anything|Loughborough-Wheat||||||||||y||
Between The Devil And The Deep Blue Sea|Harold Arlen||||157|1931|3||||y||
Bewitched|Richard Rodgers||||335|1941|1-43||y||y||
Beyond All Limits|||||||2-23||||||
Beyond The Blue Horizon|Whiting-Harding||||||||||y||
Beyond The Bluebird,|||||||3-27||||||
Beyond The Sea|Charles Trenet||||||||||y||
Bidin' My Time|George Gershwin||||||||||y||
Big Foot|||||733|1948|||||||
Big Nick|||||||1-44||||||
Big P|||||||2-404||||||
Bill Bailey|Traditional||||||||||y||
Bill Bailey Won't You Please Come Home|||||975|1902||||079,100,|||
Billet Doux||||||||||||y|
Billie's Bounce|Charlie Parker|||y|112|1945|2-24|||006,|y||
Bills' Hit Tune|||||||2-205||||||
Billy Boy|Traditional||||||||||y||
Birdland|||||||2-26||||||
Birk's Works|Dizzy Gillespie||||603|1957|2-37||||y||
Birth Of The Blues|Ray Henderson||||501|1926|2-25||||y||
Bitter Suite In The Ozone|||||||1-45||||||
Black And Blue|Fats Waller||||432|1929||2|||y||
Black And Tan Fantasy|||||837|1927|2-28||||||
Black And White||||||||||||y|
Black Coffee|Burke-Webster||||892|1948|1|2|||y||
Black Diamond|||||||1-46||||||
Black Monday|||||||1-2||||||
Black Narcissus|Joe Henderson||||||1-47||||y||
Black Nile|Wayne Shorter||||||1-48||||y||
Black Orpheus|||||||1-49||||||
Blackberry Winter|Alec Wilder||||||||||y||
Blame It On My Youth|Oscar Levant||||857|1934|2||||y||
Blessed Relief|||||||1-50||||||
Blood Count|||||808|1967||||066,|||
Bloomdido|Charlie Parker||||810|1953|2-29||||y||
Blue|And Broken Hearted) ||||||||||y||
Blue 'n' Boogie|||||548|1944|2||||||
Blue A La Mode|||||||2-32||||||
Blue And Sentimental|Livingstone-David-Basie||||327|1938|2-30||y|094,|y||
Blue Bossa|Kenny Dorham|y|y|y|557|1963|1-51|1|||y||
Blue Champagne|Watts-Ryerson-Eaton||||||||||y||
Blue Comedy|||||||1-52||||||
Blue Daniel|Frank Rosolino||||||3-28||||y||
Blue Drag||||||||||||y|
Blue In Green|Miles Davis, Bill Evans||||426|1959|1-53|||050,|y||
Blue Lou|Irving Mills||||198|1935|||||y||
Blue Monk|Thelonious Monk||||185|1954|1-54||||y||
Blue Moon|Richard Rodgers||||94|1934|2-31|3||034,070,|y||
Blue Room|Richard Rodgers||||429|1926|1-55||y|039,|y||
Blue Seven|||||||2-33||||||
Blue Silver|||||||2-35||||||
Blue Skies|Irving Berlin||||129|1927|2||||y||
Blue Sphere|Thelonious Monk||||||||||y||
Blue Train|||||||1-58||||||
Blue Turning Grey Over You|Fats Waller||||744|1929|||||y||
Blueberry Hill|Lewis-Stock-Rose||||602|1940|||||y||
Bluebird|||||||3-29||||||
Bluehawk|Thelonious Monk||||||||||y||
Blues Backstage|||||||3-30||||||
Blues By Five|||||||2-33||||||
Blues Clair||||||||||||y|
Blues Connotation|||||||2-32||||||
Blues Five Spot|Thelonious Monk||||||||||y||
Blues For Alice|Charlie Parker||||||1-57||||y||
Blues For Dixie||||||||||||y|
Blues For Ike||||||||||||y|
Blues For Philly Joe|||||||2-34||||||
Blues For Wood|Woody Shaw||||||2-34||||y||
Blues In My Heart|||||594|1931|||||||
Blues In The Closet|Oscar Pettiford||||543|1955|2-36|||h,|y||
Blues In The Night|Harold Arlen||||207|1941|||y||y||
Blues March|Benny Golson||||||||||y||
Bluesette|Toots Thielemans||||||1-56||||y||
Body And Soul|Johnny Green|y|y|y|1|1930|1-59|2||015,041,074,075,093,107,110,113,|y||
Bohemia After Dark|Oscar Pettiford||||875|1955|2-406||||y||
Bolero Blue||||||||||||y|
Bolivia|Cedar Walton||||||3-31||||y||
Boo Boo's Birthday|Thelonious Monk||||||||||y||
Boogie Stop Shuffle|||||||2-38||||||
Booker's Waltz|Booker Little||||||2-39||||y||
Bop Boy,|||||||3-34||||||
Bop Shop|||||||3-32||||||
Boplicity|Cleo Henry||||||1-60||||y||
Born To Be Blue|Wells-Torme||||324|1946|3-35||y||y||
Bossa Antigua|Paul Desmond||||||||||y||
Bossa Dorado||||||||||||y|
Bossa Rokka ,|||||||3-36||||||
Boston Marathon|||||||1-61||||||
Boulevard Of Broken Dreams||||||||||||y|
Boum||||||||||||y|
Bouncin' With Bud|Bud Powell||||529|1947|||||y||
Bouncing With Bud|||||||2-40||||||
Bourbon Street Parade|Paul Barbarin||||||||||y||
Boy Next Door, The|Martin-Blane||||||3-37||||y||
Brainville|||||||1-62||||||
Branilian Beat|||||||2-41||||||
Brazil|Aquarela Do Brasil) ||||911|1941|3||||y||
Brazilian Like|Michel Petrucciani||||||||||y||
Brazilian Suite|Michel Petrucciani||||||||||y||
Breeze And I, The|Ernesto Lecuona||||447|1940|3||||y||
Brian's Song|||||||2-42||||||
Bricktop||||||||||||y|
Bright Boy|John Bright||||||2-43||||y||
Bright Mississippi|Thelonious Monk||||||||||y||
Bright Moments|||||||2-44||||||
Bright Size Life|Pat Metheny||||||1-64||||y||
Brilliant Corners|Thelonious Monk||||||2-45||||y||
Bring It Down To My House||||||||||||y|
Brise Napolitaine||||||||||||y|
Broadway|William-Henri-Woode||||366|1940|1||||y||
Broadway Blues|||||||1-65||||||
Brotherhood Of Man|Frank Loesser||||||||||y||
Brown Skin Girl|||||||2-46||||||
Brownout|||||||1-66||||||
Bud Powell|Chick Corea||||||3-38||||y||
Bud's Blues|||||||3-40||||||
Bud's Bubble|||||||2-48||||||
Budo|Davis-Powell||||||2-47||||y||
Bugle Call Rag|||||224|1922|||||||
Bunko|Lenny Niehaus||||||2-49||||y||
Busch-wacked|||||||3-41||||||
Buster Rides Again|||||||2-37||||||
But Beautiful|Jimmy Van-Heusen||||133|1947|1-67|1||023,|y||
But Not For Me|George Gershwin||||54|1930|2-50||y|065,075,107,|y||
Butch And Butch|Oliver Nelson||||||||||y||
Butterfly|Herbie Hancock||||||1-68||||y||
Butterfly Dreams|Stanley Clarke||||||||||y||
Buzzy|||||||3-42||||||
By Myself|Arthur Schwartz||||827|1937|3-43||||y||
Bye Bye Baby|Jule Styne||||||||||y||
Bye Bye Baby,|||||||3-44||||||
Bye Bye Blackbird|Ray Henderson||||126|1926|2-51|2||039,065,107,123,|y||
Bye Bye Blues|Hamm-Bennett-Lown-Gray||||499|1930||||079,|y||
Bye-ya|Thelonious Monk||||||||||y||
Byrdlike|||||||2-407||||||
C Jam Blues||||y|148|1942|2|||048,|||
C'est Si Bon|Henri Betti||||||||||y||
C'est What|||||||2-57||||||
C- Jam Blues|||||||2-55||||||
C-jam Blues|Duke Ellington||||||||||y||
C.t.a.|Jimmy Heath||||||||||y||
Cabin In The Sky|||||549|1940|||||||
Call Me|Tony Hatch||||||||||y||
Call Me Irresponsible|Jimmy Van-Heusen||||||||||y||
Can't Help Lovin' Dat Man|Jerome Kern||||339|1927|1||||y||
Can't We Be Friends|||||632|1929|2-52|||089,|||
Canadian Sunset|||||563|1956|||||||
Candy|David-Whitney-Kramer||||716|1945|2||||y||
Cantaloupe Island|Herbie Hancock||||||||||y||
Cantina Band||||||||||||y|
Canyon Song|||||||1-72||||||
Captain|||||||1-70||||||
Captain Marvel|Chick Corea||||||||||y||
Caravan|Duke Ellington||||17|1936|2-53|3||059,|y||
Careful|||||||3-45||||||
Careless Love|||||787|1921|2-55||||||
Carioca|||||516|1933|||||||
Catch Me|||||||2-56||||||
Cavalerie||||||||||||y|
Celia|Bud Powell||||||3-46||||y||
Centerpiece|||||790|1958|||||||
Central Park West|John Coltrane||||||1-156||||y||
Ceora|Lee Morgan||||||1-73||||y||
Certain Smile, A|||||||3-48||||||
Chameleon|||||||2-58||||||
Change Partners|Irving Berlin||||926|1937|3||||y||
Chariots|||||||3-49||||||
Charleston|James Johnson||||988|1920|||||y|y|
Charmaine||||||||||||y|
Chase, The|||||||2-59||||||
Chasin' The Bird|||||799|1947|||||||
Chasin' The Train|||||||2-62||||||
Chasin' The Trane|John Coltrane||||||||||y||
Chasing Shadows||||||||||||y|
Chattanooga Choo Choo|||||914|1941|||||||
Cheek To Cheek|Irving Berlin||||187|1935|3-50||||y||
Cheese Cake|Dexter Gordon||||||2-60||||y||
Cheetah|Kenny Burrell||||||||||y||
Chega De Saudade|No More Blues) ||||||1-74||||y||
Chelsea Bells|||||||1-76||||||
Chelsea Bridge|Billy Strayhorn||||221|1941|1-77|1||032,066,|y||
Cherokee|Ray Noble||||39|1938|1-78|2||015,061,|y||
Cherry|||||612|1928|||||||
Cheryl|Charlie Parker||||895|1947|3-53||||y||
Chez Jaquet||||||||||||y|
Chez Moi||||||||||||y|
Chicago|Fred Fisher||||||||||y||
Chicago (That Toddlin' Town)|||||541|1922|3|||100,|||
Chicken Feathers|||||||1-79||||||
Chicken, The|Pee-Wee Ellis||||||||||y||
Children's Song|||||||1-80||||||
China Boy|||||288|1922||||||y|
Chinatown||||||||||||y|
Chinatown My Chinatown|||||703|1906|||||||
Chippie|||||||1-85||||||
Chloe|||||441|1927|||||||
Christmas Song, The|||||305|1946|||||||
Christmas Swing||||||||||||y|
Christmas Time Is Here|||||943|1966|||||||
Christopher Columbus|||||588|1936|||||||
Chucho|Paquito D'Rivera||||||||||y||
Circle|||||||2-61||||||
Clair De Lune||||||||||||y|
Claudine||||||||||||y|
Close Enough For Love|Mandel-Williams||||847|1979|3-54||y||y||
Close Your Eyes|Bernice Petkere||||298|1933|2|3||094,|y||
Clouds||||||||||||y|
Cocktail Swing||||||||||||y|
Cocktails For Two|||||585|1934|||||||
Colors Of Chloe|||||||1-82||||||
Come Fly With Me|Jimmy Van-Heusen||||||||||y||
Come Rain Or Come Shine|Harold Arlen||||51|1946|2-63|||025,|y||
Come Sunday|Duke Ellington||||151|1943|1-88|1|||y||
Comes Love|Lew Brown||||802|1939|||||y||
Comin' Home Baby|||||||2-64||||||
Como En Vietnam|||||||1-86||||||
Como Una Flor||||||||||||y|
Compensation|||||||3-55||||||
Con Alma|Dizzy Gillespie||||301|1956|1-89||||y||
Conception|George Shearing||||868|1950|1-90||||y||
Conference Of The Birds|Dave Holland||||||1-91||||y||
Confessin (That I Love You)|||||||2-65||||||
Confessin'|That I Love You) ||||||||||y||
Confirmation|Charlie Parker||||218|1953|1-92|||i,006,020,028,065,068,069,|y||
Contemplation|McCoy Tyner||||||1-3||||y||
Continental, The|||||906|1934|||y|||y|
Continuum|Jaco Pastorius||||||||||y||
Cookin'|||||||2-66||||||
Cool Blues|||||||2-64||||||
Cool Eyes|||||||3-56||||||
Cool One, The|Benny Golson||||||||||y||
Copenhagen|Davis-Melrose||||||||||y||
Coquette|||||407|1928||||||y|
Coral|Keith Jarrett||||||1-93||||y||
Corcovado|Antonio-Carlos Jobim||||382|1962|1-94|||031,098,|y||
Core, The|||||||2-66||||||
Cork "n" Bib|||||||2-70||||||
Cottage For Sale|Willard Robison||||840|1930|||||y||
Cottontail|Duke Ellington||||233|1940|1-95||y|048,|y||
Coucou||||||||||||y|
Could It Be You|Cole Porter||||||1-96||||y||
Countdown|John Coltrane||||||1-97||||y||
Country|Keith Jarrett||||||||||y||
Country Roads|||||||1-98||||||
Cousin Mary|John Coltrane||||||2-62||||y||
Crabfeathers|||||||1-365||||||
Crazeology|||||||2-67||||||
Crazy He Calls Me|Carl Sigman||||388|1949|3||y||y||
Crazy Rhythm|Wolfe-Kahn-Meyer||||260|1928|||y|094,|y||
Creole Love Call, The|Duke Ellington||||953|1928|3||||y||
Crepuscule||||||||||||y|
Crepuscule With Nellie|Thelonious Monk||||||||||y||
Crescent|||||||1-99||||||
Crisis|Freddie Hubbard||||||||||y||
Criss Cross|Thelonious Monk||||||||||y||
Criss/cross|||||||2-68||||||
Crosscurrent|Lennie Tristano||||||||||y||
Cry Me A River|Arthur Hamilton||||423|1953|3-58||||y||
Crystal Silence|Chick Corea||||||1-100||||y||
Cut Of This World|||||||3-226||||||
Cute|Neal Hefti||||||2-69||||y||
Cyclic Episode|Sam Rivers||||||||||y||
Daahoud|Clifford Brown||||765|1955|1-101||||y||
Dacapolypso|||||||3-60||||||
Dance Of The Infidels|Bud Powell||||||||||y||
Dancing In The Dark|Arthur Schwartz||||257|1931|||y|081,110,113,|y||
Dancing On The Ceiling|Richard Rodgers||||671|1930|1-102||y||y||
Danny Boy|||||649|Trad.|||||||
Danse Norwegienne||||||||||||y|
Danse Nuptial||||||||||||y|
Daphne||||||||||||y|
Dark Eyes|||||397|1884|3|||||y|
Darktown Strutters Ball|||||547|1917||||100,|||
Darktown Strutters' Ball||||||||||||y|
Darn That Dream|Jimmy Van-Heusen||||70|1939|1-103|1||089,|y||
Dat Dere|Bobby Timmons||||||||||y||
Davenport Blues|||||757|1927|||||||
Day By Day|Cahn-Stordahl-Weston||||695|1945|2|2||i,059,|y||
Day Dream|Strayhorn-Ellington||||237|1941|3-59|3|||y||
Day Dreaming|Jerome Kern||||||||||y||
Day In Vienna, A|||||||2-71||||||
Day In, Day Out|Rube Bloom||||503|1939|3-62||y||y||
Day Waves|||||||1-106||||||
Daybreak|Adamson-Grofe||||||||||y||
Days And Nights Waiting|Keith Jarrett||||||1-104||||y||
Days Of Wine And Roses|Henry Mancini||||135|1962|1-105||y|040,107,|y||
De Pois De Amor O'vazio|||||||1-110||||||
Dear Lord|John Coltrane||||||||||y||
Dear Old Southland|||||589|1921|||||||
Dear Old Stockholm|Traditional||||430|Trad.|1-108|||i,091,|y||
Dearly Beloved|Jerome Kern||||595|1942|1-107|||055,|y||
Decision|||||||2-408||||||
Dedicated To You|Cahn-Chaplin-Zaret||||573|1936|1||y||y||
Deed I Do|Hirsch-Rose||||338|1926|3||||y||
Deep In A Dream|||||740|1938|||||||
Deep Night|||||836|1929|||||||
Deep Purple|Peter De-Rose||||295|1934|2-72||y||y||
Deep River|||||651|Trad.|||||||
Del Sasser|Sam Jones||||||||||y||
Delores|||||||1-109||||||
Deluge|Wayne Shorter||||||1-116||||y||
Desafinado|Original) ||||713|1959|1-112|1||031,074,098,|y||
Desert Air|||||||1-114||||||
Destinee||||||||||||y|
Detour Ahead|Herb Ellis||||572|1948|1|2|||y||
Devil May Care|T.P. Kirk||||||||||y||
Dewey Square|Charlie Parker||||||2-73||||y||
Dexterity|Charlie Parker||||859|1947|1-117||||y||
Diane|||||||2-74||||||
Dicty Glide, The||||||||||||y|
Dienda|Kenny Kirkland||||||||||y||
Dig|Miles Davis||||||3-64||||y||
Dikeno Sinto||||||||||||y|
Diminishing||||||||||||y|
Dinah|Harry Akst||||134|1925|2||||y||
Dindi|Antonio-Carlos Jobim||||694|1965|2-75|1|||y||
Dinette||||||||||||y|
Ding-dong The Witch Is Dead||||||||||||y|
Disguise, The Sphinx, The|||||||1-4||||||
Dizzy Atmosphere|||||881|1944|1||||||
Django|John Lewis||||211|1954|1-120|2|||y||
Django's Castle||||||||||||y|
Django's Tiger||||||||||||y|
Djangology||||||||||||y|
Djoyeux Anniversaire||||||||||||y|
Do Nothin' Till You Hear From Me|||||93|1943|2-77|1|||||
Do Nothing Til You Hear From Me|Duke Ellington||||||||||y||
Do You Know What It Means|Louis Alter||||||||||y||
Do You Know What It Means To Miss New Orleans|||||687|1946|2-80|||i,|||
Doggin' Around|||||998|1938|||||||
Doin' The Pig|||||||1-118||||||
Dolores|Wayne Shorter||||||||||y||
Dolphin Dance|Herbie Hancock||||742|1966|1-122|3||011,|y||
Dolphin, The|Luiz Eca||||||1-121||||y||
Domingo|||||||2-76||||||
Domino Biscuit|||||||1-123||||||
Don't Ask Why|||||||3-66||||||
Don't Be That Way|Edgar Sampson||||183|1938||3|||y||
Don't Blame Me|Jimmy McHugh||||38|1932|1-125|3||034,074,|y||
Don't Ever Go Away|||||||3-67||||||
Don't Explain|Billie Holiday||||253|1944|2||||y||
Don't Get Around Much Anymore|Duke Ellington||||104|1942|1-126|1||048,|y||
Don't Go To Strangers|Kent-Mason-Evans||||832|1954|||||y||
Don't Know Why|Jesse Harris||||||||||y||
Don't Look Back|||||||3-68||||||
Don't Misunderstand|Gordon Parks||||||||||y||
Don't Take Your Love From Me|Henry Nemo||||521|1941|3||||y||
Don't Worry 'bout Me|Rube Bloom||||177|1939|3||y||y||
Don't Worry About Me||||||||||||y|
Don't You Know I Care|||||452|1944|||||||
Donna Lee|Charlie Parker||||194|1947|1-124|||006,069,|y||
Double Clutching|||||||3-70||||||
Douce Ambience||||||||||||y|
Down By The Riverside|Traditional||||||||||y||
Down For Double|||||||2-78||||||
Down In The Depths|Cole Porter||||||||||y||
Doxy|Sonny Rollins||||691|1954|2-79||y|h,008,054,|y||
Dream|||||442|1945||||085,|||
Dream A Little Dream Of Me|Schwendt-Andre-Kahn||||||||||y||
Dream Dancing|Cole Porter||||910|1941|3-71||y|112,|y||
Dream Of You|||||995|1934||||||y|
Dreamsville|Henry Mancini||||||||||y||
Driftin'|Herbie Hancock||||||||||y||
Drive, The|||||||2-81||||||
Drop Me Off In Harlem|||||566|1933|3||||||
Duff|||||||2-70||||||
Duke, The|Dave Brubeck||||833|1955|1-127|||105,|y||
E.k.'s Blues|||||||2-92||||||
E.s.p.|Wayne Shorter||||||||||y||
Early Autumn|Burns-Herman||||389|1949|2-82|1||i,040,|y||
East Of The Sun|Brooks Bowman||||||3-72||||y||
