Title	Chrds	Prnt	Mp3	Rank	Year	RB1	RB2	RB3	NRB1	NRB2	NRB3	SRB	Aebersold
Soul Eyes				477	1957		y						032,074,
South				849	1924								
Speak Low				120	1943		y		y				025,065,
Spring Can Really Hang You Up the Most				755	1955			y		y			
Spring Is Here				228	1938						y		034,
Squatty Roo				711	1941								
Squeeze Me				171	1925								
St Louis Blues				20	1914		y						079,100,
St. James Infirmary				239	1928		y						h,100,
St. Thomas				371	1956		y		y				h,008,074,
Stablemates				424	1955			y		y			014,065,
Stairway to the Stars (Park Avenue Fantasy)				167	1935						y		
Star Crossed Lovers				829	1944								
Star Dust			y	12	1929		y			y			052,107,
Star Eyes				87	1943						y		034,059,
Stars Fell on Alabama				238	1934						y		052,107,
Stella By Starlight	y	y	y	10	1946	y							022,059,068,085,093,
Stolen Moments				853	1961	y							073,
Stompin' At the Savoy				48	1936	y					y		034,
Stormy Monday Blues				925	1942								
Stormy Weather (Keeps Rainin' All the Time)				106	1933			y	y			y	044,
Straight No Chaser				163	1951	y							
Straighten Up and Fly Right				951	1944								
Strange Fruit				681	1940								
Stranger in Paradise				968	1954								049,
Street of Dreams				376	1932						y		072,
Strike Up the Band				320	1929							y	
String of Pearls				960	1941								
Strollin'				709	1960		y			y			018,
Struttin' with Some Barbecue				556	1928		y						
Stuffy				692	1945								
Sugar (That Sugar Baby O' Mine)				269	1927	y					y		i,049,070,
Sugar Blues				791	1919								
Sugar Foot Stomp				813	1926								
Summer Night				839	1936								
Summertime	y	y	y	3	1935		y					y	025,054,107,123,
Sunday				281	1926								
Sunny				606	1966			y				y	049,
Superstition				991	1972								
Sweet and Lovely				142	1931			y		y			059,
Sweet Georgia Brown				16	1925							y	039,067,070,084,
Sweet Lorraine				37	1928						y		052,
Sweet Sue, Just You				193	1928		y						
Sweethearts on Parade				956	1928								
Swing Low, Sweet Chariot				478	Trad.								
Swinging the Blues				520	1938								
Taboo				850	1934								
Tain't Nobody's Business If I Do				653	1922								
Tain't What You Do				835	1939		y						
Take Five				656	1960	y						y	090,105,
Take the A Train				23	1941	y			y				012,065,066,
Taking a Chance on Love				214	1940						y		
Tangerine				212	1942		y						022,
Tea for Two				59	1924							y	051,
Teach me Tonight				444	1953			y				y	041,
Temptation				957	1933								
Tenderly				26	1946		y		y				044,
Thanks for the Memory				762	1937	y		y					
That Old Black Magic				180	1942			y					
That Old Devil Called Love				824	1944								
That Old Feeling				244	1937			y			y		072,
That's a Plenty				571	1914								100,
That's All				261	1952					y			041,107,
The Best Is Yet to Come				878	1959							y	
The Best Thing for You				789	1950			y					
The Best Things in Life Are Free				818	1927			y					
The Breeze and I				447	1940			y					
The Christmas Song				305	1946								
The Continental				906	1934							y	
The Creole Love Call				953	1928			y					
The Duke				833	1955								105,
The Flat Foot Floogie				809	1938								
The Folks Who Live on the Hill				471	1937		y						
The Girl from Ipanema				479	1963	y						y	031,070,090,098,
The Glory of Love				897	1936			y					
The Good Life				470	1962							y	
The Hour of Parting				779	1931								
The Lady Is a Tramp				336	1937			y				y	
The Lady's in Love with You				665	1939			y					
The Lamp Is Low				530	1939						y		072,
The Look of Love				698	1967			y					
The Man I Love				18	1924							y	051,
The Man That Got Away				860	1954			y					
The Masquerade Is Over				396	1938			y		y			
The Mooche				714	1929								
The More I See You				318	1945							y	123,
The Nearness of You				64	1937		y						059,
The Night Has a Thousand Eyes				273	1948	y							052,075,
The Night We Called It a Day				445	1944			y					
The One I Love (Belongs to Somebody Else)				737	1924								
The Party's Over				704	1956			y					025,
The Peacocks				605	1975								
The Peanut Vendor				519	1928								
The Preacher				599	1956								017,
The Saga of Harrison Crabfeathers	y	y	y										
The Second Time Around				646	1960						y		
The Shadow of Your Smile				276	1965						y		034,
The Song Is Ended				598	1927			y					
The Song Is You				159	1932	y							015,055,
The Summer Knows				608	1971							y	
The Surrey with the Fringe on Top				399	1943	y							
The Things We Did Last Summer				785	1946		y						089,
The Thrill Is Gone				760	1931			y					
The Touch of Your Lips				474	1936			y					072,
The Very Thought of You				107	1934			y					041,
The Way You Look Tonight				27	1936		y						055,061,
The World Is Waiting for the Sunrise				874	1919	y							
Them There Eyes				264	1930					y			
Then I'll Be Tired of You				551	1934							y	
There Are Such Things				913	1942			y					
There Is No Greater Love				52	1936	y				y			034,
There Will Never Be Another You	y	y	y	43	1942	y			y				044,093,
There'll Be Some Changes Made				401	1921	y							
There's a Lull in My Life				924	1937								
There's a Small Hotel				284	1936		y					y	020,
There's No You				518	1944							y	
These Foolish Things				28	1936		y		y				
They All Laughed				927	1936							y	
They Can't Take That Away from Me				86	1937							y	
They Didn't Believe Me				446	1914	y							080,
They Say				987	1938								
They Say It's Wonderful				345	1946			y					
Things Ain't What They Used to Be				92	1942			y					
This Can't Be Love				123	1938			y					089,
This Is All I Ask				997	1958			y					
This Is Always				315	1946							y	
This Love of Mine				590	1941								
This Time the Dream's on Me				416	1941								
This Year's Kisses				912	1937		y						
Thou Swell				278	1927	y						y	
Three Little Words				145	1930			y		y			051,
Tickle Toe				679	1940								
Tico Tico (Tico No Fuba)				615	1943								
Tiger Rag				259	1917								100,
Time After Time				131	1947							y	041,107,
Time on My Hands				156	1930								
Time Out				944	1937								118,
Tin Roof Blues				614	1923								
Tin Tin Deo				623	1947								
Tis Autumn				621	1941							y	
To Each His Own				1000	1946								
Together				749	1928								029,
Tonight				916	1957								
Too Close for Comfort				391	1956			y					
Too Late Now				620	1950			y					
Too Marvelous for Words				344	1937							y	039,
Too Young to Go Steady				972	1955								052,
Topsy				385	1937	y							
Travelin' Light				425	1943								
Trinkle Tinkle				647	1952								
Triste				879	1967	y			y				i,095,098,
Trouble in Mind				409	1926								
Trust in Me				784	1936								
Try a Little Tenderness				663	1932								072,
Tune Up				652	1953	y			y				i,007,065,067,
Tuxedo Junction				696	1940								
Two Sleepy People				817	1938								
Un Poco Loco				793	1953			y					
Undecided				105	1939								
Under a Blanket of Blue				645	1933								
Unforgettable	y			722	1951			y		y			058,
Until I Met You (Corner Pocket)				522	1956		y						
Until the Real Thing Comes Along				317	1936								
Upper Manhattan Medical Group				558	1956	y							066,
Violets for Your Furs				728	1941			y					023,
Wait Till You See Her				908	1942	y							
Walk on By				854	1961							y	
Walkin'				341	1949							y	i,
Walkin' My Baby Back Home				577	1930			y					
Waltz for Debby				512	1964	y			y				
Warm Valley				546	1940		y				y		048,
Watch What Happens				400	1964		y						
Watermelon Man				609	1963			y					011,054,085,
Wave				216	1967	y			y				i,031,098,
Way Down Yonder in New Orleans				368	1922								100,
We'll Be Together Again				241	1945	y			y				
Weary Blues				613	1915								
Well You Needn't				313	1944	y			y				056,
West Coast Blues				768	1960	y			y				i,043,062,
West End Blues				648	1928								
Wham				980	1939								
What a Difference a Day Made				367	1934					y			
What a Wonderful World				945	1967			y					
What Am I Here For				373	1942	y						y	
What Are You Doing New Year's Eve				974	1947								
What Are You Doing the Rest of Your Life				717	1969						y		
What Is There to Say				232	1933								
What Is This Thing Called Love	y	y	y	8	1930							y	015,041,112,117,
What Kind of Fool Am I				993	1962								
What Will I Tell My Heart				819	1937								
What'll I Do				751	1924		y						
What's New				14	1939		y						041,074,093,107,
When a Woman Loves a Man				675	1938							y	
When Day Is Done				973	1924								
When I Fall in Love				137	1952	y							110,113,
When It's Sleepy Time Down South				331	1931								
When Lights Are Low				349	1936		y				y		052,087,
When Sunny Gets Blue				517	1956	y							049,
When the Saints Go Marching In				282	1896								080,100,
When the Sun Comes Out				485	1941			y					
When You Wish Upon a Star				348	1940	y							058,
When You're Smiling				225	1928			y					
When Your Lover Has Gone				217	1931							y	041,097,
Where Are You				353	1936						y		
Where or When				208	1937			y				y	110,113,
Whisper Not				297	1956		y			y			i,014,
Whispering				540	1920	y							
White Christmas				404	1940								
Who				607	1925								
Who Cares (So Long As You Care for Me)				419	1931							y	089,
Who's Sorry Now				454	1923								
Why Do I Love You				431	1927		y						055,
Why Was I Born				377	1929								
Wild Man Blues				861	1927								
Will You Still Be Mine				328	1940			y		y			023,
Willow Weep for Me				13	1932		y		y				
Winter Wonderland				326	1934								078,
Witchcraft				705	1951			y	y				044,
With a Song in My Heart				536	1929		y					y	051,
Without a Song				370	1929		y			y			034,
Wives and Lovers (Hey Little Girl)				996	1963	y							022,
Wolverine Blues				669	1923								
Wonder Why				635	1951								
Woody'n You				173	1943	y				y			065,
Work Song				350	1960		y						013,120,
Wrap Your Troubles in Dreams				190	1931			y		y			
Yardbird Suite				168	1946		y						h,006,069,
Yesterday				619	1965	y							
Yesterdays	y	y	y	9	1933	y							055,085,
You and the Night and the Music				235	1934							y	041,097,
You Are My Sunshine				919	1940								
You Are Too Beautiful				449	1932	y						y	
You Better Go Now				555	1936			y					
You Brought a New Kind of Love to Me				747	1930	y							
You Can Depend on Me				375	1932		y						
You Do Something to Me				734	1929							y	051,112,
You Don't Know What Love Is				53	1941	y							032,
You Go to My Head				42	1938							y	040,097,107,
You Leave Me Breathless				678	1938								
You Made Me Love You				947	1913			y					079,
You Make Me Feel so Young				848	1946							y	
You Must Believe in Spring				596	1967						y		
You Stepped Out of a Dream				96	1940						y		034,059,070,
You Took Advantage of Me				310	1928	y						y	
You Turned the Tables on Me				660	1936								
You'd Be So Nice to Come Home To				188	1942		y					y	112,
You'll Never Know				877	1943							y	
You're a Lucky Guy				830	1939								
You're a Sweetheart				756	1937								
You're Blase				640	1932			y					
You're Driving Me Crazy (What Did I Do)				243	1930			y					
You're Getting to Be a Habit with Me				770	1932								
You're Mine You				525	1933			y					
You're My Everything				393	1931		y			y			041,097,
You're My Thrill				374	1934								
You're the Top				940	1934							y	
You've Changed				395	1942			y			y		032,
Young and Foolish				561	1954								
Young At Heart				764	1954	y							
Yours Is My Heart Alone				871	1929							y	041,
